SVCCD,Description,CPT,Gross Charge,As of Date,DISCOUNTED CASH PRICE INPATIENT,DISCOUNTED CASH PRICE OUTPATIENT,DE-IDENTIFIED MIN,DE-IDENTIFIED MAX,Premera Blue Cross of AK - All Plans ,Premera Blue Cross of AK - CHS Employees - All Plans ,Aetna HMO PPO POS - All Plans ,Aetna AK Care (State) HMO PPO POS - All Plans ,Pacific Health Coalition PPO - All Plans ,United Healthcare PPO POS - All Plans ,Cigna PPO - All Plans ,MODA PPO - All Plans ,Multiplan PPO - All Plans 
1610122,BONE AGE STUDY DR,77072,422,2/13/2023,211,126.6,193.698,396.258,205.092,193.698,295.822,284.428,238.852,281.474,303.418,315.234,396.258
1317090,HLA2 TYP HR 1 AL EA,81383,659,2/13/2023,329.5,197.7,302.481,618.801,320.274,302.481,461.959,444.166,372.994,439.553,473.821,492.273,618.801
1219691,DILTIAZE 120MG SR CP,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1317006,BRAF GENE ANALY V600,81210,600,2/13/2023,300,180,275.4,563.4,291.6,275.4,420.6,404.4,339.6,400.2,431.4,448.2,563.4
1641004,MR-UPPER JOINT W,73222,5181,2/13/2023,2590.5,1554.3,2378.079,4864.959,2517.966,2378.079,3631.881,3491.994,2932.446,3455.727,3725.139,3870.207,4864.959
1417120,NEEDLES 2,,1088,2/13/2023,544,326.4,499.392,1021.632,528.768,499.392,762.688,733.312,615.808,725.696,782.272,812.736,1021.632
7210015,BUPIV.5%/EPI PF 30ML,,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
1217143,TRAMADOL 50MG TAB,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
7211770,HEPATITIS B GLOB 1ML,90371,551,2/13/2023,275.5,165.3,252.909,517.389,267.786,252.909,386.251,371.374,311.866,367.517,396.169,411.597,517.389
1127152,PACU PHASE 2 IN 15MN,,1103,2/13/2023,551.5,330.9,506.277,1035.717,536.058,506.277,773.203,743.422,624.298,735.701,793.057,823.941,1035.717
1120003,PACU LEV 3 INI 15 MN,,3305,2/13/2023,1652.5,991.5,1516.995,3103.395,1606.23,1516.995,2316.805,2227.57,1870.63,2204.435,2376.295,2468.835,3103.395
1414412,CATH-INFUS PERIF 13,C1751,12486,2/13/2023,6243,3745.8,5731.074,11724.354,6068.196,5731.074,8752.686,8415.564,7067.076,8328.162,8977.434,9327.042,11724.354
1061911,IR-ABD AORTA SERIAL,75625,9052,2/13/2023,4526,2715.6,4154.868,8499.828,4399.272,4154.868,6345.452,6101.048,5123.432,6037.684,6508.388,6761.844,8499.828
7211938,AMINOPHYLL 250MG INJ,J0280,77,2/13/2023,38.5,23.1,35.343,72.303,37.422,35.343,53.977,51.898,43.582,51.359,55.363,57.519,72.303
1219427,LIDOCAI 1.5%/EPI 30M,,84,2/13/2023,42,25.2,38.556,78.876,40.824,38.556,58.884,56.616,47.544,56.028,60.396,62.748,78.876
1691159,IR-FEM POP REVAS ATH,SURG,56890,2/13/2023,28445,17067,26112.51,53419.71,27648.54,26112.51,39879.89,38343.86,32199.74,37945.63,40903.91,42496.83,53419.71
1610042,SP-ENT SPN 2OR3 V DR,72082,561,2/13/2023,280.5,168.3,257.499,526.779,272.646,257.499,393.261,378.114,317.526,374.187,403.359,419.067,526.779
1217480,KETAMINE 500MG/10ML,,47,2/13/2023,23.5,14.1,21.573,44.133,22.842,21.573,32.947,31.678,26.602,31.349,33.793,35.109,44.133
1213605,PHYTONADI 1MG/ML 1ML,,24,2/13/2023,12,7.2,11.016,22.536,11.664,11.016,16.824,16.176,13.584,16.008,17.256,17.928,22.536
1110892,PAIN MGMT AD PROC L2,SURG,2317,2/13/2023,1158.5,695.1,1063.503,2175.663,1126.062,1063.503,1624.217,1561.658,1311.422,1545.439,1665.923,1730.799,2175.663
1217561,MAGNESIUM CITR 300ML,,11,2/13/2023,5.5,3.3,5.049,10.329,5.346,5.049,7.711,7.414,6.226,7.337,7.909,8.217,10.329
1314974,"HSV, DNA, QUANT",87530,270,2/13/2023,135,81,123.93,253.53,131.22,123.93,189.27,181.98,152.82,180.09,194.13,201.69,253.53
1316490,COVID19 AG HITHRU PR,U0003,169,2/13/2023,84.5,50.7,77.571,158.691,82.134,77.571,118.469,113.906,95.654,112.723,121.511,126.243,158.691
8611022,S-INJ KNEE ARTHRO,27369,786,2/13/2023,393,235.8,360.774,738.054,381.996,360.774,550.986,529.764,444.876,524.262,565.134,587.142,738.054
1631520,CT-ORBIT EAR WO,70480,3290,2/13/2023,1645,987,1510.11,3089.31,1598.94,1510.11,2306.29,2217.46,1862.14,2194.43,2365.51,2457.63,3089.31
1630014,CTA-ABDOMEN PELVIS,74174,14375,2/13/2023,7187.5,4312.5,6598.125,13498.125,6986.25,6598.125,10076.875,9688.75,8136.25,9588.125,10335.625,10738.125,13498.125
1623836,S-DRAIN PERITON ABSC,SURG,11281,2/13/2023,5640.5,3384.3,5177.979,10592.859,5482.566,5177.979,7907.981,7603.394,6385.046,7524.427,8111.039,8426.907,10592.859
1913250,PULSE OXIMTRY SINGLE,94760,52,2/13/2023,26,15.6,23.868,48.828,25.272,23.868,36.452,35.048,29.432,34.684,37.388,38.844,48.828
7212146,CYCLOSPORNE 100MG PO,J7502,41,2/13/2023,20.5,12.3,18.819,38.499,19.926,18.819,28.741,27.634,23.206,27.347,29.479,30.627,38.499
1061510,CC-R-L HRT ART-VENT,93460,57018,2/13/2023,28509,17105.4,26171.262,53539.902,27710.748,26171.262,39969.618,38430.132,32272.188,38031.006,40995.942,42592.446,53539.902
1522111,IV THERAPY DX 1 HR,96365,1020,2/13/2023,510,306,468.18,957.78,495.72,468.18,715.02,687.48,577.32,680.34,733.38,761.94,957.78
1060089,S-THORACNTSIS W IMG,32555,5250,2/13/2023,2625,1575,2409.75,4929.75,2551.5,2409.75,3680.25,3538.5,2971.5,3501.75,3774.75,3921.75,4929.75
1110406,MODSED OTH ADD15MIN,99157,295,2/13/2023,147.5,88.5,135.405,277.005,143.37,135.405,206.795,198.83,166.97,196.765,212.105,220.365,277.005
1314134,AMINO ACID QUAN 6+,82139,126,2/13/2023,63,37.8,57.834,118.314,61.236,57.834,88.326,84.924,71.316,84.042,90.594,94.122,118.314
1214286,PREDNISONE 1MG ORAL,J7512,2.8,2/13/2023,1.4,0.84,1.2852,2.6292,1.3608,1.2852,1.9628,1.8872,1.5848,1.8676,2.0132,2.0916,2.6292
1413121,EAR TUBES DRAINAGE 1,C1889,477,2/13/2023,238.5,143.1,218.943,447.903,231.822,218.943,334.377,321.498,269.982,318.159,342.963,356.319,447.903
