Description,CPT,Gross Charge
BONE AGE STUDY DR,77072,422.0
HLA2 TYP HR 1 AL EA,81383,659.0
BRAF GENE ANALY V600,81210,600.0
MR-UPPER JOINT W,73222,5181.0
HEPATITIS B GLOB 1ML,90371,551.0
CATH-INFUS PERIF 13,C1751,12486.0
IR-ABD AORTA SERIAL,75625,9052.0
AMINOPHYLL 250MG INJ,J0280,77.0
IR-FEM POP REVAS ATH,SURG,56890.0
SP-ENT SPN 2OR3 V DR,72082,561.0
PAIN MGMT AD PROC L2,SURG,2317.0
"HSV, DNA, QUANT",87530,270.0
COVID19 AG HITHRU PR,U0003,169.0
S-INJ KNEE ARTHRO,27369,786.0
CT-ORBIT EAR WO,70480,3290.0
CTA-ABDOMEN PELVIS,74174,14375.0
S-DRAIN PERITON ABSC,SURG,11281.0
PULSE OXIMTRY SINGLE,94760,52.0
CYCLOSPORNE 100MG PO,J7502,41.0
CC-R-L HRT ART-VENT,93460,57018.0
IV THERAPY DX 1 HR,96365,1020.0
S-THORACNTSIS W IMG,32555,5250.0
MODSED OTH ADD15MIN,99157,295.0
AMINO ACID QUAN 6+,82139,126.0
PREDNISONE 1MG ORAL,J7512,2.8
EAR TUBES DRAINAGE 1,C1889,477.0
EPO 1000UN INJ NESRD,J0885,96.0
MOLEC PATH LEV 4,81403,1199.0
FACTOR X,85260,132.0
MITOMYCIN 5MG INJ,J9280,531.0
"DNA AB,NATIVE-DOUBL",86225,157.0
IR-RPL GASTRO J TUBE,49452,2717.0
"PROTOZOA AB, NOS",86753,108.0
OR LEV 2 EA ADD MIN,SURG,109.0
CULTURE BACTERIA OTH,87070,305.0
S-PNCTR ASP HEMA-CY,SURG,1556.0
PROTHROMBIN TIME,85610,73.0
NEUR RE-ED-15MN COTA,97112,388.0
COVID19 PRB,87635,129.0
SPLT SHRTARM ST COTA,29125,744.0
ESTRONE,82679,176.0
VANCOMYCIN 500MG INJ,J3372,37.0
"TOXOPLASMA AB, IGM",86778,126.0
PHENOBARB 120MG INJ,J2560,135.0
CULT MYCOBACTERIA,87116,231.0
THERAPEUTIC IV PUSH,96374,1020.0
"NI-EKG, 12 LEADS",93005,721.0
PRIMIDONE,80188,142.0
S-INTROCATH SEGPULM,36015,1400.0
MYCOPHE MOF 250MG PO,J7517,16.0
TRANSFERRIN,84466,165.0
DAPTOMYCIN 1 MG INJ,J0878,3.2
HYDROMORPH UP TO 4MG,J1170,5.8
CULT MYCOPLASMA,87109,275.0
SP-HEAR-TX-INDI VIST,92507,833.0
DEF DRUG NOS MS 1-3,80375,39.0
POTASSIUM SER PL WB,84132,90.0
CULT AEROBIC IDENTIF,87077,193.0
DEOXYRIBONUCLEASE AB,86215,116.0
"ALLERGEN IGE,QUALMUL",86005,47.0
US-BREAST COMPLETE,76641,684.0
MAGNES SULF 500MGINJ,J3475,96.0
NON-RAD/CONT VIS 1ML,Q9968,94.0
BIVALIRUDIN 1MG INJ,J0583,7.3
CYSTATIN C,82610,67.0
PT EVAL- HGH CMP PT,97163,633.0
DXA BONE DENS AXIAL,77085,896.0
ELEC STM-UNAT-VI PT,G0283,88.0
MOLEC PATH LEV 7,81406,2397.0
BR-TOMO MAMM SCR UNI,77063,248.0
CYTOGENETICS 25-99,88274,135.0
"PORPHOBILINOGEN,QUAN",84110,176.0
CLIN CHEM TEST NOS,84999,27.0
ESTRADIOL TOTAL,82670,231.0
ASCORBIC ACID,82180,90.0
"M.PNEUM,DNA,AMP PROB",87581,799.0
FL-LONG GI TUBE PLC,74340,2695.0
INHALATION TRTMT SUB,94640,1014.0
T VAGINALIS AMP,87661,196.0
S-ABDOMEN 3RD ORDER,36247,2477.0
BILAT LITHOTRIPSY,MANUL,55743.0
NEG PR WN MD LT 50CM,97607,488.0
ADM COV2 VAC (M) 2ND,0012A,59.0
CYTOGENETICS DNA-PRO,88271,646.0
CT-CHEST DIAG WWO,71270,5121.0
CEFTO50-TAZO25MG INJ,J0695,23.0
OR LEV 2 INI 15 MIN,SURG,9545.0
S-DRAIN PERITON ABSC,SURG,11281.0
CATH-INFUS PERIF 8,C1751,4870.0
CT-PELVIS WO,72192,3344.0
HEMOGLOBIN,85018,75.0
NI-CARDI REHAB W- MO,93798,758.0
BREAST IMPLANT 1,C1789,2867.0
NM-MYOCRD SPECT SNGL,78451,5683.0
METHYLPREDNIS 4MG PO,J7509,11.0
SALICYLATE QT,80179,408.0
HISTAMINE,83088,195.0
PRSTHS URNARY SPHC 2,C1815,21716.0
AD PROCEDURE GI LV 1,SURG,845.0
"SKIN TEST, TB INTRA",86580,64.0
INJ VONWILLEB FAC IU,J7187,5.0
PEGFILGRAS 0.5MG INJ,J2506,1869.0
PYRUVATE,84210,75.0
SP-SCRM COCCYX 2V DR,72220,720.0
S-PERC REPOS VAD IMG,SURG,2942.0
IV THERAPY DX 1 HR,96365,1038.0
CATHETER INTRASPINAL,C1755,52.0
IC-TRL PERI ATH AORT,SURG,56652.0
ESTM UNAT A30 DY PTA,G0281,347.0
NI-EXT ARTERIAL LTD,93922,561.0
IMMU GLOB LYO 500MG,J1566,250.0
CTA-CHEST,71275,7169.0
MRA-ABDOMEN WWO,C8902,4555.0
TOCILIZUMAB 1MG INJ,Q0249,21.0
BEHAV CHG SMOKE U 10,99406,119.0
PULSE OX OVERNIGHT,94762,1058.0
MTHFR GENE ANALY CV,81291,367.0
PAIN MGMT IN PROC L1,SURG,1928.0
"HEPATITIS C,RNA,AMPP",87521,1165.0
CONN TISSUE HUMAN 1,C1762,2995.0
"PORPHYRINS,UR,QUAN",84120,184.0
PROTEIN C ACTIVATED,85307,101.0
GUIDEWIRE LEVEL 9,C1769,11234.0
ANCA SCREEN EACH AB,86036,457.0
CMV AB,86644,146.0
ALCOHOLS MS,80320,61.0
US-ABD RETROPER DPLX,93976,1326.0
COG SKL DV INI15 OT,97129,265.0
S-BIOPSY NECK/CHEST,SURG,5727.0
CATH-DRAINAG LEVEL 1,C1729,316.0
VIRUS INOCU SHELL VI,87254,217.0
OXALATE,83945,115.0
HLA CLASS 2 SQT PNL,86835,1809.0
ADRENL/EPINEP 0.1MG,J0171,5.0
LOCM 300-399MG/ML 1M,Q9967,5.3
S-ASP/INJ RENL CYST,SURG,1938.0
"T CELLS, TOTAL",86359,261.0
IR-ANG PULMONARY UNI,75741,13437.0
ROPIVACAINE 1MG INJ,J2795,0.9
BLD TYPING RH PHENO,86906,267.0
CAPILLARY PUNCTURE,36416,60.0
THER AD IVP SAME MED,96376,609.0
HUMAN EPI PROTEIN 4,86305,153.0
CISPLAT POW/SOL 10MG,J9060,22.0
REMDESIVIR 1MG INJ,J0248,6.5
LIPASE,83690,234.0
IR-TC PLC STN ART IN,SURG,49653.0
Q10247 HD MUT AN,81271,588.0
CATH URETERAL 3,C1758,3244.0
MR-BRAIN WWO,70553,6842.0
SQ INFUSION EA AD HR,96370,258.0
MODSED SAME ADD15MIN,99153,315.0
BLD DRAW CENTRAL LN,36592,432.0
CTA-UPPER EXT BI,73206,7455.0
"FOMEPIZOLE, 15 MG",J1451,41.0
MRA-CHEST WWO,C8911,2840.0
GALACTOSE,82760,83.0
IR-REMVLOBSTR VENOUS,75901,2801.0
CC-RV IVL TIB PER,SURG,30774.0
AMIODARONE 30MG INJ,J0283,20.0
BR-PLC LOC DVCE 1ST,MANUL,5110.0
IR-ANG PULMONARY BI,75743,13437.0
AQUAPORIN-4 AB ELISA,86051,108.0
CT-THORCNT W TUB IMG,32557,4644.0
CC-R HRT ART-GRF ANG,93457,77275.0
PT RE-EVAL-VISIT PTA,97164,383.0
IC-TRL PERI ATH ILIA,SURG,86353.0
FLUCONAZOL 200MG INJ,J1450,47.0
PHENYLEPHRIN 1ML INJ,J2370,5.3
"POTASSIUM, URINE",84133,175.0
TENECTEPLASE 1MG INJ,J3101,448.0
PREDNISONE 1MG ORAL,J7512,11.0
"HEAVY METALS, QUANT",83018,151.0
SQ INFUSION INI 1 HR,96369,901.0
S-BIOPSY NECK/CHEST,SURG,5727.0
BRONCHO/LAVAGE WO-FL,SURG,7203.0
IR-ARTHGRM BI HIP DR,73525,4937.0
TERBUTALINE 1MG INJ,J3105,47.0
S-N BLOC INJ LUMBAR,SURG,3342.0
S-ABDOMEN 3RD ORDER,36247,2801.0
US-ULTRASOUND UNLSTD,76999,839.0
CT-LUMB SPINE WWO,72133,5411.0
CHROMOSOME CT ADDITI,88285,106.0
FL-MOD BA SWALLOW,74230,1399.0
UE-WRIST 2V DR,73100,537.0
HEXAGONAL PHOSPHOLIP,85598,132.0
FOSPHENYTOIN 50MG,Q2009,23.0
VEDOLIZUMAB 1MG INJ,J3380,81.0
METHYLPRED 80MG INJ,J1040,114.0
ALBUMIN 25% 50ML IV,P9047,338.0
ADRENOCORT ACTH,82024,382.0
FOSCARNET 1000MG,J1455,284.0
ADM COV2 VAC (M) 2ND,0012A,59.0
FL-FNA W IMG 1ST LES,MANUL,1772.0
PT EVAL- LOW CMP PT,97161,633.0
VITAMIN K,84597,250.0
US-ABSC DRN CATH PLA,75989,12255.0
S-RPL PICC W IMG,SURG,2219.0
IR-VASC EMB-OCC BLED,SURG,56652.0
S-IN PICC W IMG GT5Y,SURG,4025.0
EMBOLIZ PROTECT SYS1,C1884,11234.0
TC99M SESTA - DOSE,A9500,1355.0
PTEN GENE FULL SEQ,81321,1367.0
VENA CAVA FILTER 2,C1880,13084.0
FL-UCG VOIDING,74455,1490.0
SEALANT PULMNRY LIQD,C2615,6562.0
FL-CAVERNOSOGRAPH DR,74445,591.0
"CHROMO, SUBSTR,ASSAY",85130,44.0
S-ASP/INJ RENL CYST,SURG,1938.0
"EPSTEIN-BARR AB, EA",86663,98.0
CCP ANTIBODY,86200,424.0
THER ACTVT-15MIN PT,97530,323.0
COVID19 AB,86769,216.0
PROC WND CARE SIMPLE,SURG,215.0
ADM COV2 VAC (P) 1ST,0001A,60.0
PROPRANOLOL 1MG/ML,J1800,47.0
VITAMIN E,84446,234.0
IR-MYELO CERVICAL,62302,4647.0
MR-PELVIS WO,72195,6321.0
HBEAG,87350,137.0
OSTEOCALCIN,83937,245.0
IR-ANGIO EXTREM UNI,75710,14109.0
ADM COV2 VAC (P) 1ST,0001A,59.0
LEAD NEUROSTIMULAT 3,C1778,27650.0
CATECHOLAMINES BLD,82383,208.0
IVIG (GAMUNEX) 500MG,J1561,215.0
IVIG (GAMMAGD) 500MG,J1569,250.0
THYROXINE BIND GLOB,84442,63.0
BLOOD TRANSFUSION,36430,3973.0
CHLOROTHIAZ 500MG IJ,J1205,374.0
RUBELLA AB,86762,146.0
BUTORPHANOL 1MG INJ,J0595,23.0
INF PUMP PROGRAM LV6,C1772,655.0
SP-T SPINE 3 VIEW DR,72072,910.0
MORPHINE PF 10MG INJ,J2274,47.0
MSED OTH GT5 1ST15,99156,295.0
SENS INTG-15 MIN OT,97533,186.0
MESH IMPLANTABLE 2,C1781,4492.0
ANCHOR/SCRW LEVEL 10,C1713,10859.0
IR-RMV TUN CVC WO SQ,36589,9808.0
S-BX BONE SUPRFCL,SURG,6989.0
CRYPTOCOCCUS AB,86641,50.0
ALC BIOMRKS MS 1-2,80321,74.0
S-REVS OPN-PRQ TIB-P,SURG,406.0
MERCURY,83825,140.0
NORM SALINE 250ML IV,J7050,182.0
IR-VENGRM JUGULAR,75860,11092.0
PRSTHS PENILE NNINF1,C2622,50.0
ETHYLENE GLYCOL,82693,192.0
UE-SHOULDER 2V BI DR,73030,1343.0
"HEP A AB, TOTAL",86708,229.0
S-TUBE THORACOSTOMY,SURG,7021.0
S-H CRYO EACH UNIT,P9012,2679.0
ORAL FUNC TX-VIS,92526,1047.0
UNLIST MOLEC PATH,81479,1199.0
AD PROCEDURE GI LV 2,SURG,1692.0
VALPROIC ACID TOTAL,80164,470.0
ELEC STM-MN-15MN OT,97032,354.0
FL-SM BWL ENT TBE DR,74251,529.0
DBRD NON-SEL-VIS PTA,97602,955.0
S-INJ ELBOW ARTHRO,24220,685.0
GRANISETRON 100MCG,J1626,25.0
IMPELLA DEVICE L2,C1889,99999.99
MICROB SUSCEP DIFFUS,87181,184.0
S-ILIAC REVAS STNT A,SURG,400.0
LUNG BIOPS PLUG W D1,C2613,664.0
DIPH/TET/ACPERT .5ML,90715,237.0
SYNTH IMP URIN2/1ML,L8606,786.0
S-BX MUSCLE PERC NDL,SURG,6254.0
CT-PELVIS WWO,72194,5411.0
MATRL FOR VOCAL CORD,C1878,2128.0
PIPER/TAZOB 1G/.125G,J2543,41.0
NM-GASTRIC EMPTYING,78264,3297.0
IR-NG OROGASTRIC TUB,43752,1558.0
ACTINOMYCES AB,86602,67.0
CT-MAXILLOFACIAL WO,70486,3290.0
CALCIUM GLUC 10%10ML,J0610,47.0
MNL THRPY-15 MIN OT,97140,281.0
IRON SUCROSE 1MG INJ,J1756,2.6
HCG QUANT,84702,334.0
CYCLOSPORINE,80158,504.0
GIARDIA LAMBLIA AB,86674,135.0
PHLEBOTOMY THERAPEUT,99195,611.0
T3-T4 UPTAKE,84479,192.0
ANCHOR/SCRW LEVEL 17,C1713,39747.0
S-FEM POP REVAS ATHR,SURG,57432.0
INHIBIN A,86336,136.0
LIPOPROTEIN A,83695,107.0
BONE CEMENT 5,C1713,9638.0
GAIT TRNNG-15MIN PT,97116,420.0
"SUGARS, SING, QUAL",84376,64.0
SPINAL TAP TX W-IM,62329,4516.0
BLD OCCULT OTHER SRC,82271,116.0
HEPATITIS B GLOB 1ML,90371,483.0
TUMOR AG CA 125,86304,308.0
ADENOSINE 1MG INJ,J0153,13.0
CATH BAL DIL NONVAS1,C1726,3745.0
S-DIAG BONE MAR BX,SURG,5713.0
CATH BAL DIL NONVAS2,C1726,10705.0
AD PROCEDURE OR LV 3,SURG,3436.0
IRON DEX165 INJ 50MG,J1750,83.0
SLF CRE MGT-15MN OT,97535,293.0
PT EVAL- MOD CMP PT,97162,633.0
IVIG (PRIVIGEN)500MG,J1459,256.0
MORPHINE PF 10MG INJ,J2274,50.0
ENOXAPARIN 10MG INJ,J1650,30.0
CULT TYPE IMMUNOFLUO,87140,30.0
"ANTIBODY ID,EA PANEL",86870,171.0
